Module  ExpectedPeak    MeasuredPeak    oldFactor       Ratio           Sigma           Chi2/ndf        
W132    2097.88         1849.19         0.122           1.13449         39.8607         0.694859        
W133    2097.21         1864.98         0.122           1.12452         38.8001         0.249985        
W134    2096.48         1875.12         0.122           1.11805         30.445          0.296477        
W135    2095.7          1857.32         0.122           1.12835         42.825          0.97661         
W136    2094.87         1746.19         0.122           1.19968         43.7715         1.6185          
W137            2095.54         2000            1.04777         138.432         0.774104        
W138    2096.37         1980.32         0.122           1.0586          47.0881         1.75877         
W139    2097.15         1929.57         0.122           1.08685         55.4262         0.683352        
W140    2097.88         1994.34         0.122           1.05192         54.417          0.813557        
W141    2098.56         2026.69         0.122           1.03546         41.5593         0.383717        
W142    2099.18         1860.73         0.122           1.12815         48.6368         0.374601        
W143    2099.76         1903.67         0.122           1.103           47.9973         0.0926501       
W144    2100.28         1942.09         0.122           1.08145         43.0666         1.01802         
W145    2100.75         1933.04         0.122           1.08676         37.3286         0.869837        
W146    2101.17         1906.34         0.122           1.1022          43.6093         0.191407        
W147    2101.53         1799.88         0.122           1.1676          42.5627         0.423698        
W148    2101.85         1870.77         0.122           1.12352         43.0836         0.742085        
W149    2102.11         1926.16         0.122           1.09135         38.1051         1.37869         
W150    2102.32         1825            0.122           1.15196         43.2789         1.08997         
W151    2102.48         1762.95         0.122           1.19259         40.5684         1.45385         
W152    2102.58         1862.17         0.122           1.1291          41.4225         1.21178         
W153    2102.63         1770.7          0.122           1.18746         36.4016         2.15714         
W154    2102.63         1815.94         0.122           1.15788         46.5979         0.18983         
W155    2102.58         1905.08         0.122           1.10367         48.77           0.782581        
W156    2102.48         1789.94         0.122           1.17461         46.6951         0.615254        
W157    2102.32         1775.85         0.122           1.18384         43.2971         1.51659         
W158    2102.11         1781.71         0.122           1.17983         47.5411         1.2003          
W159    2101.85         1896.14         0.122           1.10849         42.2125         0.241931        
W160    2101.53         1872.17         0.122           1.12251         42.3425         2.01521         
W161    2101.17         1825.72         0.122           1.15087         48.405          1.40263         
W162    2100.75         1877.27         0.122           1.11904         49.561          0.401112        
W163    2100.28         1945.54         0.122           1.07953         39.6637         0.63545         
W164    2099.76         1881.55         0.122           1.11597         46.7334         0.606431        
W165    2099.18         2013.94         0.122           1.04232         35.5119         0.462374        
W166    2098.56         1869.84         0.122           1.12232         53.1288         0.889384        
W167    2097.88         1760.84         0.122           1.19141         52.3522         0.86605         
W168    2097.15         1902.68         0.122           1.10221         36.2516         1.1539          
W169    2096.37         2025.95         0.122           1.03476         39.3557         1.40275         
W170    2095.54         1928.01         0.122           1.08689         68.6437         1.03851         
W171    2096.16         2309.93         0.122           0.90746         1.05443         4.52902e-06     
W172    2096.99         1979.64         0.122           1.05928         45.8827         1.39852         
W173    2097.78         1936.86         0.122           1.08308         35.1978         3.09669         
W174    2098.5          2044.08         0.122           1.02663         49.1447         0.38437         
W175    2099.18         2013.09         0.122           1.04277         46.4968         2.13701         
W176    2099.81         1787.27         0.122           1.17487         46.8064         1.61507         
W177    2100.38         1849.92         0.122           1.13539         41.6938         1.53086         
W178    2100.91         1862.88         0.122           1.12778         42.1231         0.654198        
W179    2101.38         1846.95         0.122           1.13776         42.0427         1.56446         
W180    2101.8          1867.85         0.122           1.12525         38.5023         0.873085        
W181    2102.16         1836.3          0.122           1.14478         40.4333         0.280363        
W182    2102.48         1835.76         0.122           1.14529         41.6454         1.13367         
W183    2102.74         1781.27         0.122           1.18047         47.9596         2.56177         
W184    2102.95         1801.21         0.122           1.16752         41.7364         0.854558        
W185    2103.11         1796.27         0.122           1.17082         47.0343         3.53472         
W186    2103.21         1976.21         0.122           1.06427         44.2561         0.65245         
W187    2103.26         1717.13         0.122           1.22487         44.2817         0.799757        
W188    2103.26         1740.83         0.122           1.20819         37.6213         1.23474         
W189    2103.21         1744.81         0.122           1.20541         46.6607         1.01717         
W190    2103.11         1911.29         0.122           1.10036         40.939          1.28995         
W191    2102.95         1859.23         0.122           1.13109         44.411          1.20103         
W192    2102.74         1813.71         0.122           1.15936         40.0224         1.00758         
W193    2102.48         1889.73         0.122           1.11258         41.1848         1.58446         
W194    2102.16         1891.08         0.122           1.11162         38.9085         1.27297         
W195    2101.8          1825.29         0.122           1.15149         44.0029         1.85196         
W196    2101.38         1785.03         0.122           1.17722         39.1224         1.18389         
W197    2100.91         1885.78         0.122           1.11408         38.3871         1.70043         
W198    2100.38         1838.03         0.122           1.14274         37.6497         0.405149        
W199    2099.81         1899.75         0.122           1.10531         38.5561         0.619009        
W200    2099.18         1838.49         0.122           1.1418          43.1896         0.739759        
W201    2098.5          1772.27         0.122           1.18408         51.3026         2.68942         
W202    2097.78         1859.05         0.122           1.12841         51.6705         0.941894        
W203    2096.99         1881.83         0.122           1.11434         48.2871         3.26449         
W204    2096.16         1824.39         0.122           1.14897         124.01          0.372391        
W205    2096.73         3429.93         0.122           0.611306        1.0544          4.52101e-06     
W206    2097.57         1876.03         0.122           1.11809         45.3011         1.31897         
W207    2098.35         1885.7          0.122           1.11277         43.9039         1.8973          
W208    2099.08         1894.35         0.122           1.10807         51.95           2.43251         
W209    2099.75         2002.43         0.122           1.04861         42.3686         0.368608        
W210    2100.38         1732.51         0.122           1.21233         50.9395         1.87079         
W211    2100.96         1847.92         0.122           1.13693         39.938          0.681141        
W212    2101.48         1824.41         0.122           1.15187         42.9033         0.319771        
W213    2101.95         1971.23         0.122           1.06631         40.7022         0.820472        
W214    2102.37         1865.51         0.122           1.12697         44.2993         1.14848         
W215    2102.74         1716.97         0.122           1.22468         50.4752         2.47016         
W216    2103.05         1896.52         0.122           1.1089          41.9346         2.151           
W217    2103.31         1948.77         0.122           1.07931         45.2885         1.00761         
W218    2103.52         1975.38         0.122           1.06487         45.3516         0.563566        
W219    2103.68         1891.52         0.122           1.11217         46.5969         1.05206         
W220    2103.79         1980.08         0.122           1.06248         42.41           0.702074        
W221    2103.84         1849.87         0.122           1.13729         44.7769         1.07719         
W222    2103.84         1794.33         0.122           1.17249         42.8629         0.984697        
W223    2103.79         1776.88         0.122           1.18398         41.4305         1.17338         
W224    2103.68         1835            0.122           1.14642         44.6476         1.37315         
W225    2103.52         1923.77         0.122           1.09344         38.5154         3.10227         
W226    2103.31         1793.31         0.122           1.17287         44.8495         0.721469        
W227    2103.05         1748.52         0.122           1.20276         46.8517         0.963171        
W228    2102.74         1844.7          0.122           1.13988         42.7582         0.788909        
W229    2102.37         1854.61         0.122           1.13359         42.6977         3.12908         
W230    2101.95         1726.49         0.122           1.21747         47.0966         0.667156        
W231    2101.48         1832.2          0.122           1.14697         37.8962         1.08007         
W232    2100.96         1793.79         0.122           1.17124         36.3106         0.87419         
W233    2100.38         1750.04         0.122           1.20019         58.6732         1.30948         
W234    2099.75         1943.63         0.122           1.08033         43.9217         1.10931         
W235    2099.08         1967.73         0.122           1.06675         46.5348         0.535932        
W236    2098.35         2094.7          0.122           1.00174         39.887          0.887577        
W237    2097.57         1973.97         0.122           1.06261         39.5466         0.200935        
W238    2096.73         1671.98         0.122           1.25404         106.963         0.51257         
W239    2097.25         2103.26         0.122           0.997145        152.629         1.67847         
W240    2098.09         2075.19         0.122           1.01103         45.2831         0.871606        
W241    2098.87         1875.43         0.122           1.11914         42.0393         0.562053        
W242    2099.6          1854.13         0.122           1.13239         39.9808         0.538122        
W243    2100.28         1862.27         0.122           1.1278          45.1728         1.00865         
